============================================================
CICERO PAIRS - WINDOW SIZE 4
============================================================

Pair                           | Count
('aio', 'greek.expression')    |     9
('enim', 'littera')            |     9
('audio', 'non')               |     9
('greek.expression', 'reliquus') |     9
('greek.expression', 'nescio') |     9
('dico', 'etiam')              |     9
('ita', 'ut')                  |     9
('eo', 'epirus')               |     9
('certo', 'scio')              |     9
('inimicus', 'non')            |     9
('accipio', 'epistula')        |     9
('do', 'volo')                 |     9
('caesar', 'littera')          |     9
('alter', 'do')                |     9
('accipio', 'scribo')          |     9
('iam', 'possum')              |     8
('facio', 'publicus')          |     8
('do', 'video')                |     8
('magnus', 'ut')               |     8
('ita', 'nam')                 |     8
('etiam', 'puto')              |     8
('habeo', 'magis')             |     8
('dies', 'paucus')             |     8
('autem', 'etiam')             |     8
('modo', 'quam')               |     8
('curo', 'ut')                 |     8
('ne', 'roma')                 |     8
('facio', 'littera')           |     8
('autem', 'habeo')             |     8
('audio', 'puto')              |     8
('do', 'habeo')                |     8
('habeo', 'magnus')            |     8
('intellego', 'volo')          |     8
('animus', 'video')            |     8
('habeo', 'nunc')              |     8
('ignoro', 'non')              |     8
('possum', 'spes')             |     8
('habeo', 'venio')             |     8
('autem', 'ut')                |     8
('affero', 'littera')          |     8
('parum', 'quam')              |     8
('consilium', 'etiam')         |     8
('lex', 'senatus')             |     8
('satis', 'video')             |     8
('bonus', 'enim')              |     8
('quam', 'ut')                 |     8
('clodius', 'publius')         |     8
('desidero', 'non')            |     8
('res', 'summus')              |     8
('ago', 'multus')              |     8
('consilium', 'possum')        |     8
('non', 'proficiscor')         |     8
('ne', 'satis')                |     8
('etiam', 'multus')            |     8
('greek.expression', 'mitto')  |     8
('epistula', 'mitto')          |     8
('res', 'tantus')              |     8
('littera', 'ne')              |     8
('animus', 'quam')             |     8
('facile', 'possum')           |     8
('enim', 'tempus')             |     8
('tum', 'vero')                |     8
('non', 'voluntas')            |     8
('dico', 'ut')                 |     8
('causa', 'video')             |     8
('dico', 'video')              |     8
('quam', 'venio')              |     8
