============================================================
CICERO ANALYSIS (Treebank Filtered)
Source: Perseus (phi0474) + PROIEL (Atticum, Officiis, etc.)
============================================================

Total Lemmas: 28377

TOP COLLOCATIONS (PAIRS) by PMI (Min count: 3)
------------------------------------------------------------
Collocation                    | PMI        | Count
('provincia', 'legatus')       |       4.78 |     3
('facile', 'patior')           |       4.76 |     3
('cossinius', 'do')            |       4.74 |     3
('ante', 'lego')               |       4.72 |     3
('nego', 'aio')                |       4.72 |     3
('tribunus', 'contio')         |       4.72 |     3
('metus', 'frater')            |       4.72 |     3
('greek.expression', 'istuc')  |       4.72 |     7
('exitus', 'nunc')             |       4.72 |     4
('novus', 'accido')            |       4.72 |     3
('caput', 'lex')               |       4.70 |     4
('polliceor', 'curo')          |       4.69 |     3
('solum', 'etiam')             |       4.68 |    15
('invitus', 'fio')             |       4.68 |     3
('profecto', 'amo')            |       4.67 |     4
('spes', 'ostendo')            |       4.67 |     3
('messalla', 'consul')         |       4.67 |     5
('caesar', 'capua')            |       4.66 |     3
('libenter', 'accipio')        |       4.66 |     4
('lucius', 'filius')           |       4.65 |     4
('amo', 'quantum')             |       4.65 |     3
('magnus', 'numerus')          |       4.65 |     3
('libertus', 'mitto')          |       4.64 |     4
('contra', 'dico')             |       4.62 |     4
('secundus', 'bonus')          |       4.62 |     3
('erogo', 'ne')                |       4.62 |     3
('caesar', 'miles')            |       4.59 |     4
('lex', 'tertius')             |       4.58 |     3
('tam', 'longe')               |       4.58 |     4
('do', 'novembris')            |       4.57 |     4
('epirus', 'proficiscor')      |       4.56 |     6
('proficiscor', 'athenae')     |       4.52 |     3
('obviam', 'venio')            |       4.51 |     4
('urbs', 'italia')             |       4.51 |     3
('bibulus', 'affero')          |       4.50 |     4
('ut', 'opinor')               |       4.49 |    12
('bonus', 'popularis')         |       4.47 |     3
('primum', 'igitur')           |       4.44 |     3
('quin', 'etiam')              |       4.44 |     4
('paucus', 'dies')             |       4.42 |     6
('laenius', 'do')              |       4.42 |     3
('littera', 'exemplum')        |       4.40 |     3
('clodius', 'filius')          |       4.40 |     3
('mentio', 'facio')            |       4.39 |     6
('postea', 'vero')             |       4.39 |     4
('exspecto', 'thessalonica')   |       4.39 |     4
('amo', 'tantum')              |       4.38 |     5
('tantum', 'amo')              |       4.38 |     5
('modo', 'verus')              |       4.38 |     3
('eo', 'epirus')               |       4.38 |     7
('valde', 'gratus')            |       4.37 |     6
('iam', 'despero')             |       4.36 |     4
('multo', 'utor')              |       4.33 |     3
('huc', 'venio')               |       4.32 |     3
('inquam', 'scaptius')         |       4.32 |     3
('religio', 'senatus')         |       4.31 |     4
('metellus', 'consul')         |       4.31 |     6
('immo', 'etiam')              |       4.29 |     3
('brundisium', 'proficiscor')  |       4.29 |     3
('lex', 'caput')               |       4.28 |     3
('publius', 'filius')          |       4.27 |     3
('voluntas', 'saepe')          |       4.27 |     4
('publicus', 'utilis')         |       4.27 |     3
('rogatio', 'fero')            |       4.27 |     4
('dilectus', 'habeo')          |       4.26 |     3
('clodius', 'populus')         |       4.26 |     3
('copia', 'locus')             |       4.26 |     5
('varro', 'pompeius')          |       4.25 |     4
('lex', 'perfero')             |       4.24 |     4
('greek.expression', 'murus')  |       4.24 |     4
('ardeo', 'greek.expression')  |       4.24 |     3
('caelius', 'greek.expression') |       4.24 |     3
('athenae', 'venio')           |       4.23 |     8
('vix', 'satis')               |       4.23 |     3
('refero', 'sententia')        |       4.23 |     3
('clodius', 'opera')           |       4.22 |     3
('vir', 'bonus')               |       4.21 |     8
('eo', 'aliquando')            |       4.20 |     3
('tantus', 'amor')             |       4.20 |     3
('fio', 'praesertim')          |       4.19 |     5
('voluntas', 'perspicio')      |       4.19 |     3
('senatus', 'syngrapha')       |       4.19 |     3
('frater', 'soror')            |       4.18 |     3
('plebs', 'peto')              |       4.18 |     4
('memmius', 'caesar')          |       4.17 |     3
('antium', 'epistula')         |       4.16 |     3
('proficiscor', 'ibi')         |       4.15 |     3
('ius', 'dico')                |       4.13 |     9
('negotium', 'conficio')       |       4.13 |     3
('causa', 'suscipio')          |       4.11 |     4
('roma', 'antium')             |       4.11 |     3
('publicus', 'prosum')         |       4.10 |     4
('sequor', 'caesar')           |       4.07 |     3
('cohors', 'caesar')           |       4.07 |     3
('postridie', 'senatus')       |       4.07 |     4
('amo', 'debeo')               |       4.06 |     6
('gymnasium', 'video')         |       4.05 |     3
('ibi', 'dies')                |       4.05 |     6
('statim', 'certus')           |       4.05 |     3
('defendo', 'sic')             |       4.03 |     3
