============================================================
CICERO: TOP TRIGRAMS by FREQUENCY
============================================================

Trigram                                       | Count
('res', 'publicus', 'sententia')              |     1
('publicus', 'sententia', 'rogo')             |     1
('sententia', 'rogo', 'ferrum')               |     1
('rogo', 'ferrum', 'trucido')                 |     1
('ferrum', 'trucido', 'oportet')              |     1
('trucido', 'oportet', 'nondum')              |     1
('oportet', 'nondum', 'vox')                  |     1
('nondum', 'vox', 'vulnero')                  |     1
('vox', 'vulnero', 'vix')                     |     1
('vulnero', 'vix', 'etiam')                   |     1
('vix', 'etiam', 'coitus')                    |     1
('etiam', 'coitus', 'dimitto')                |     1
('coitus', 'dimitto', 'comperio')             |     1
('dimitto', 'comperio', 'egredior')           |     1
('comperio', 'egredior', 'aliquando')         |     1
('egredior', 'aliquando', 'urbs')             |     1
('aliquando', 'urbs', 'pateo')                |     1
('urbs', 'pateo', 'porta')                    |     1
('pateo', 'porta', 'proficiscor')             |     1
('porta', 'proficiscor', 'nimium')            |     1
('proficiscor', 'nimium', 'diu')              |     1
('nimium', 'diu', 'imperator')                |     1
('diu', 'imperator', 'manlianus')             |     1
('imperator', 'manlianus', 'castrum')         |     1
('manlianus', 'castrum', 'desidero')          |     1
('castrum', 'desidero', 'purgo')              |     1
('desidero', 'purgo', 'urbs')                 |     1
('purgo', 'urbs', 'magnus')                   |     1
('urbs', 'magnus', 'metus')                   |     1
('magnus', 'metus', 'libero')                 |     1
('metus', 'libero', 'modo')                   |     1
('libero', 'modo', 'murus')                   |     1
('modo', 'murus', 'intersum')                 |     1
('murus', 'intersum', 'verso')                |     1
('intersum', 'verso', 'iam')                  |     1
('verso', 'iam', 'diu')                       |     1
('iam', 'diu', 'possum')                      |     1
('diu', 'possum', 'fero')                     |     1
('possum', 'fero', 'patior')                  |     1
('fero', 'patior', 'sino')                    |     1
('patior', 'sino', 'saepe')                   |     1
('sino', 'saepe', 'homo')                     |     1
('saepe', 'homo', 'superus')                  |     1
('homo', 'superus', 'salus')                  |     1
('superus', 'salus', 'periclitor')            |     1
('salus', 'periclitor', 'res')                |     1
('periclitor', 'res', 'publicus')             |     1
('res', 'publicus', 'propior')                |     1
('publicus', 'propior', 'comitium')           |     1
('propior', 'comitium', 'consularis')         |     1
('comitium', 'consularis', 'consul')          |     1
('consularis', 'consul', 'campus')            |     1
('consul', 'campus', 'competitor')            |     1
('campus', 'competitor', 'interficio')        |     1
('competitor', 'interficio', 'volo')          |     1
('interficio', 'volo', 'comprimo')            |     1
('volo', 'comprimo', 'conatus')               |     1
('comprimo', 'conatus', 'nefarius')           |     1
('conatus', 'nefarius', 'amicus')             |     1
('nefarius', 'amicus', 'praesidium')          |     1
('amicus', 'praesidium', 'copia')             |     1
('praesidium', 'copia', 'tumultus')           |     1
('copia', 'tumultus', 'publicus')             |     1
('tumultus', 'publicus', 'concito')           |     1
('publicus', 'concito', 'nunc')               |     1
('concito', 'nunc', 'iam')                    |     1
('nunc', 'iam', 'apertus')                    |     1
('iam', 'apertus', 'res')                     |     1
('apertus', 'res', 'publicus')                |     1
('res', 'publicus', 'universus')              |     1
('publicus', 'universus', 'peto')             |     1
('universus', 'peto', 'templum')              |     1
('peto', 'templum', 'deus')                   |     1
('templum', 'deus', 'immortalis')             |     1
('deus', 'immortalis', 'tectum')              |     1
('immortalis', 'tectum', 'urbs')              |     1
('tectum', 'urbs', 'vita')                    |     1
('urbs', 'vita', 'civis')                     |     1
('vita', 'civis', 'italia')                   |     1
('civis', 'italia', 'exitium')                |     1
('italia', 'exitium', 'vastitas')             |     1
('exitium', 'vastitas', 'voco')               |     1
('vastitas', 'voco', 'interficio')            |     1
('voco', 'interficio', 'iubeo')               |     1
('interficio', 'iubeo', 'resideo')            |     1
('iubeo', 'resideo', 'res')                   |     1
('resideo', 'res', 'publicus')                |     1
('res', 'publicus', 'coniurati')              |     1
('publicus', 'coniurati', 'manus')            |     1
('coniurati', 'manus', 'iam')                 |     1
('manus', 'iam', 'dudum')                     |     1
('iam', 'dudum', 'hortor')                    |     1
('dudum', 'hortor', 'exeo')                   |     1
('hortor', 'exeo', 'exhaurio')                |     1
('exeo', 'exhaurio', 'urbs')                  |     1
('exhaurio', 'urbs', 'comes')                 |     1
('urbs', 'comes', 'magnus')                   |     1
('comes', 'magnus', 'perniciosus')            |     1
('magnus', 'perniciosus', 'sentina')          |     1
('perniciosus', 'sentina', 'res')             |     1
('sentina', 'res', 'publicus')                |     1
('res', 'publicus', 'dubito')                 |     1
('publicus', 'dubito', 'impero')              |     1
('dubito', 'impero', 'facio')                 |     1
('impero', 'facio', 'iam')                    |     1
('facio', 'iam', 'sponte')                    |     1
('iam', 'sponte', 'facio')                    |     1
('sponte', 'facio', 'exeo')                   |     1
('facio', 'exeo', 'urbs')                     |     1
('exeo', 'urbs', 'iubeo')                     |     1
('urbs', 'iubeo', 'consul')                   |     1
('iubeo', 'consul', 'hostis')                 |     1
('consul', 'hostis', 'iubeo')                 |     1
('hostis', 'iubeo', 'consulo')                |     1
('iubeo', 'consulo', 'suadeo')                |     1
('consulo', 'suadeo', 'privo')                |     1
('suadeo', 'privo', 'res')                    |     1
('privo', 'res', 'dedecus')                   |     1
('res', 'dedecus', 'haereo')                  |     1
('dedecus', 'haereo', 'fama')                 |     1
('haereo', 'fama', 'nuper')                   |     1
('fama', 'nuper', 'mors')                     |     1
('nuper', 'mors', 'superus')                  |     1
('mors', 'superus', 'uxor')                   |     1
('superus', 'uxor', 'novus')                  |     1
('uxor', 'novus', 'nuptiae')                  |     1
('novus', 'nuptiae', 'locum')                 |     1
('nuptiae', 'locum', 'vacuefacio')            |     1
('locum', 'vacuefacio', 'etiam')              |     1
('vacuefacio', 'etiam', 'incredibilis')       |     1
('etiam', 'incredibilis', 'scelus')           |     1
('scelus', 'cumulo', 'praetermitto')          |     1
('cumulo', 'praetermitto', 'ruina')           |     1
('praetermitto', 'ruina', 'fortuna')          |     1
('ruina', 'fortuna', 'proximus')              |     1
('fortuna', 'proximus', 'idus')               |     1
('proximus', 'idus', 'impendeo')              |     1
('idus', 'impendeo', 'sentio')                |     1
('impendeo', 'sentio', 'petitio')             |     1
('sentio', 'petitio', 'ita')                  |     1
('petitio', 'ita', 'conicio')                 |     1
('ita', 'conicio', 'vito')                    |     1
('conicio', 'vito', 'possum')                 |     1
('vito', 'possum', 'video')                   |     1
('possum', 'video', 'parvus')                 |     1
('video', 'parvus', 'declinatio')             |     1
('parvus', 'declinatio', 'aio')               |     1
('declinatio', 'aio', 'corpus')               |     1
('aio', 'corpus', 'effugio')                  |     1
('corpus', 'effugio', 'ago')                  |     1
('effugio', 'ago', 'assequor')                |     1
('ago', 'assequor', 'ne')                     |     1
('assequor', 'ne', 'tamen')                   |     1
('ne', 'tamen', 'conor')                      |     1
('tamen', 'conor', 'volo')                    |     1
('conor', 'volo', 'desisto')                  |     1
('volo', 'desisto', 'nunc')                   |     1
('desisto', 'nunc', 'vero')                   |     1
('nunc', 'vero', 'vita')                      |     1
('vero', 'vita', 'venio')                     |     1
('vita', 'venio', 'paulus')                   |     1
('venio', 'paulus', 'ante')                   |     1
('paulus', 'ante', 'senatus')                 |     1
('ante', 'senatus', 'frequentia')             |     1
('senatus', 'frequentia', 'amicus')           |     1
('frequentia', 'amicus', 'necessarius')       |     1
('amicus', 'necessarius', 'saluto')           |     1
('necessarius', 'saluto', 'civis')            |     1
('saluto', 'civis', 'iniuria')                |     1
('civis', 'iniuria', 'suspicio')              |     1
('iniuria', 'suspicio', 'tam')                |     1
('suspicio', 'tam', 'gravis')                 |     1
('tam', 'gravis', 'offendo')                  |     1
('gravis', 'offendo', 'video')                |     1
('offendo', 'video', 'careo')                 |     1
('video', 'careo', 'aspectus')                |     1
('careo', 'aspectus', 'civis')                |     1
('aspectus', 'civis', 'infestus')             |     1
('civis', 'infestus', 'oculus')               |     1
('infestus', 'oculus', 'conspicio')           |     1
('oculus', 'conspicio', 'malo')               |     1
('conspicio', 'malo', 'nunc')                 |     1
('malo', 'nunc', 'patria')                    |     1
('nunc', 'patria', 'communis')                |     1
('patria', 'communis', 'parens')              |     1
('communis', 'parens', 'odi')                 |     1
('parens', 'odi', 'metuo')                    |     1
('odi', 'metuo', 'iam')                       |     1
('metuo', 'iam', 'diu')                       |     1
('iam', 'diu', 'iudico')                      |     1
('diu', 'iudico', 'parricidium')              |     1
('iudico', 'parricidium', 'cogito')           |     1
('parricidium', 'cogito', 'ne')               |     1
('cogito', 'ne', 'auctoritas')                |     1
('ne', 'auctoritas', 'vereor')                |     1
('auctoritas', 'vereor', 'ne')                |     1
('vereor', 'ne', 'iudicium')                  |     1
('ne', 'iudicium', 'sequor')                  |     1
('iudicium', 'sequor', 'ne')                  |     1
('sequor', 'ne', 'vis')                       |     1
('ne', 'vis', 'pertimesco')                   |     1
('vis', 'pertimesco', 'catilina')             |     1
('pertimesco', 'catilina', 'sic')             |     1
('catilina', 'sic', 'ago')                    |     1
('sic', 'ago', 'modus')                       |     1
('ago', 'modus', 'taceo')                     |     1
('modus', 'taceo', 'loquor')                  |     1
('taceo', 'loquor', 'superus')                |     1
('loquor', 'superus', 'fero')                 |     1
('superus', 'fero', 'tamen')                  |     1
('fero', 'tamen', 'possum')                   |     1
('tamen', 'possum', 'fero')                   |     1
('possum', 'fero', 'res')                     |     1
('fero', 'res', 'discedo')                    |     1
('res', 'discedo', 'timor')                   |     1
('discedo', 'timor', 'eripio')                |     1
('timor', 'eripio', 'dico')                   |     1
('eripio', 'dico', 'patria')                  |     1
('dico', 'patria', 'loquor')                  |     1
('patria', 'loquor', 'impetro')               |     1
('loquor', 'impetro', 'debeo')                |     1
('impetro', 'debeo', 'etiam')                 |     1
('debeo', 'etiam', 'vis')                     |     1
('etiam', 'vis', 'adhibeo')                   |     1
('vis', 'adhibeo', 'possum')                  |     1
('adhibeo', 'possum', 'quam')                 |     1
('possum', 'quam', 'longus')                  |     1
('quam', 'longus', 'video')                   |     1
('longus', 'video', 'carcer')                 |     1
('video', 'carcer', 'vinculum')               |     1
('carcer', 'vinculum', 'absum')               |     1
('vinculum', 'absum', 'debeo')                |     1
('absum', 'debeo', 'iam')                     |     1
('debeo', 'iam', 'dignus')                    |     1
('iam', 'dignus', 'custodia')                 |     1
('dignus', 'custodia', 'iudico')              |     1
('custodia', 'iudico', 'refero')              |     1
('iudico', 'refero', 'inquam')                |     1
('refero', 'inquam', 'senatus')               |     1
('inquam', 'senatus', 'egredior')             |     1
('senatus', 'egredior', 'urbs')               |     1
('egredior', 'urbs', 'catilina')              |     1
('urbs', 'catilina', 'libero')                |     1
('catilina', 'libero', 'res')                 |     1
('libero', 'res', 'publicus')                 |     1
('res', 'publicus', 'metus')                  |     1
('publicus', 'metus', 'exsilium')             |     1
('metus', 'exsilium', 'vox')                  |     1
('exsilium', 'vox', 'exspecto')               |     1
('vox', 'exspecto', 'proficiscor')            |     1
('exspecto', 'proficiscor', 'ecquis')         |     1
('proficiscor', 'ecquis', 'attendo')          |     1
('attendo', 'ecquis', 'animadverto')          |     1
('ecquis', 'animadverto', 'silentium')        |     1
('animadverto', 'silentium', 'patior')        |     1
('silentium', 'patior', 'taceo')              |     1
('patior', 'taceo', 'quid')                   |     1
('taceo', 'quid', 'exspecto')                 |     1
('quid', 'exspecto', 'auctoritas')            |     1
('exspecto', 'auctoritas', 'loquor')          |     1
('auctoritas', 'loquor', 'voluntas')          |     1
('loquor', 'voluntas', 'taceo')               |     1
('voluntas', 'taceo', 'perspicio')            |     1
('taceo', 'perspicio', 'vix')                 |     1
('perspicio', 'vix', 'iam')                   |     1
('vix', 'iam', 'diu')                         |     1
('iam', 'diu', 'manus')                       |     1
('diu', 'manus', 'telum')                     |     1
('manus', 'telum', 'contineo')                |     1
('telum', 'contineo', 'facilis')              |     1
('contineo', 'facilis', 'adduco')             |     1
('facilis', 'adduco', 'vasto')                |     1
('adduco', 'vasto', 'iam')                    |     1
('vasto', 'iam', 'pridem')                    |     1
('iam', 'pridem', 'studeo')                   |     1
('pridem', 'studeo', 'relinquo')              |     1
('studeo', 'relinquo', 'usque')               |     1
('relinquo', 'usque', 'porta')                |     1
('usque', 'porta', 'prosequor')               |     1
('porta', 'prosequor', 'loquor')              |     1
('prosequor', 'loquor', 'utinam')             |     1
('loquor', 'utinam', 'mens')                  |     1
('utinam', 'mens', 'deus')                    |     1
('mens', 'deus', 'immortalis')                |     1
('deus', 'immortalis', 'do')                  |     1
('immortalis', 'do', 'video')                 |     1
('do', 'video', 'vox')                        |     1
('video', 'vox', 'perterreo')                 |     1
('vox', 'perterreo', 'eo')                    |     1
