============================================================
CICERO: TOP PAIRS by FREQUENCY (Raw Count)
============================================================

Pair                           | Count
('littera', 'reddo')           |    18
('animus', 'habeo')            |    18
('locus', 'possum')            |    18
('committo', 'non')            |    18
('iam', 'scio')                |    18
('iam', 'ut')                  |    18
('habeo', 'mitto')             |    18
('curo', 'greek.expression')   |    18
('fero', 'quam')               |    18
('fero', 'senatus')            |    18
('bonus', 'ita')               |    18
('autem', 'nunc')              |    18
('greek.expression', 'magnus') |    18
('eo', 'scribo')               |    18
('eo', 'possum')               |    18
('ago', 'gratia')              |    18
('littera', 'nunc')            |    18
('magis', 'ne')                |    18
('dico', 'scio')               |    18
('greek.expression', 'loquor') |    18
('ago', 'iam')                 |    18
('scribo', 'tum')              |    18
('do', 'roma')                 |    18
('fero', 'scribo')             |    18
('multus', 'venio')            |    18
('facio', 'iter')              |    18
('nunc', 'tamen')              |    17
('lex', 'res')                 |    17
('facio', 'homo')              |    17
('eo', 'facio')                |    17
('homo', 'magnus')             |    17
('homo', 'tamen')              |    17
('animus', 'tamen')            |    17
('quam', 'relinquo')           |    17
('etiam', 'vero')              |    17
('ne', 'tam')                  |    17
('homo', 'ut')                 |    17
('autem', 'facio')             |    17
('certus', 'puto')             |    17
('arbitror', 'non')            |    17
('non', 'probo')               |    17
('diligenter', 'scribo')       |    17
('habeo', 'tempus')            |    17
('mitto', 'ne')                |    17
('multo', 'quam')              |    17
('ceterus', 'quam')            |    17
('locus', 'res')               |    17
('locus', 'quam')              |    17
('locus', 'video')             |    17
('causa', 'volo')              |    17
('animus', 'ne')               |    17
('nam', 'volo')                |    17
('magis', 'multus')            |    17
('curo', 'valeo')              |    17
('amo', 'possum')              |    17
('non', 'valde')               |    17
('non', 'tribunus')            |    17
('laudo', 'non')               |    17
('ita', 'publicus')            |    17
('nolo', 'non')                |    17
('non', 'novus')               |    17
('dico', 'homo')               |    17
('etiam', 'magis')             |    17
('malo', 'non')                |    17
('nam', 'quidem')              |    17
('non', 'otium')               |    17
('epistula', 'volo')           |    17
('non', 'utor')                |    17
('publicus', 'scio')           |    17
('caesar', 'possum')           |    17
('habeo', 'ita')               |    17
('quam', 'quidem')             |    17
('etiam', 'tempus')            |    17
('hercule', 'non')             |    17
('ago', 'senatus')             |    17
('autem', 'scio')              |    17
('do', 'tempus')               |    17
('res', 'roma')                |    17
('dico', 'venio')              |    17
('alter', 'do')                |    17
('multus', 'tamen')            |    17
('debeo', 'greek.expression')  |    17
('audio', 'video')             |    17
('greek.expression', 'placeo') |    17
('ceterus', 'greek.expression') |    17
('greek.expression', 'terentia') |    17
('dico', 'quidem')             |    17
('epirus', 'non')              |    17
('greek.expression', 'reliquus') |    17
('enim', 'venio')              |    17
('greek.expression', 'salus')  |    17
('dies', 'scio')               |    17
('ago', 'dies')                |    17
('bonus', 'ne')                |    17
('neque', 'quam')              |    17
('littera', 'quidem')          |    17
('consilium', 'etiam')         |    16
('consul', 'video')            |    16
('habeo', 'senatus')           |    16
('consilium', 'habeo')         |    16
('consilium', 'ne')            |    16
('iam', 'publicus')            |    16
('dies', 'tamen')              |    16
('comitium', 'res')            |    16
('facio', 'magnus')            |    16
('exspecto', 'iam')            |    16
('eo', 'video')                |    16
('intellego', 'possum')        |    16
('dies', 'senatus')            |    16
('res', 'spero')               |    16
('ita', 'venio')               |    16
('homo', 'ita')                |    16
('autem', 'dico')              |    16
('littera', 'tempus')          |    16
('enim', 'magis')              |    16
('enim', 'fio')                |    16
('ago', 'dico')                |    16
('dico', 'puto')               |    16
('puto', 'venio')              |    16
('accipio', 'volo')            |    16
('autem', 'volo')              |    16
('modo', 'quam')               |    16
('gratia', 'non')              |    16
('puto', 'quidem')             |    16
('totus', 'video')             |    16
('non', 'studium')             |    16
('facio', 'quintus')           |    16
('autem', 'habeo')             |    16
('reddo', 'scribo')            |    16
('do', 'magnus')               |    16
('habeo', 'multus')            |    16
('habeo', 'iam')               |    16
('animus', 'greek.expression') |    16
('certus', 'res')              |    16
('possum', 'spes')             |    16
('magnus', 'opus')             |    16
('bonus', 'vir')               |    16
('parum', 'quam')              |    16
('non', 'saepe')               |    16
('fero', 'lex')                |    16
('non', 'relinquo')            |    16
('quaero', 'res')              |    16
('tam', 'tamen')               |    16
('dico', 'sententia')          |    16
('enim', 'fero')               |    16
('etiam', 'mitto')             |    16
('greek.expression', 'sermo')  |    16
('opinor', 'ut')               |    16
('non', 'proficiscor')         |    16
('mitto', 'volo')              |    16
('res', 'tantus')              |    16
('animus', 'quam')             |    16
('habeo', 'puto')              |    16
('autem', 'quidem')            |    16
('causa', 'ne')                |    16
('consultum', 'facio')         |    16
('enim', 'quidem')             |    16
('miser', 'ne')                |    16
('autem', 'pompeius')          |    16
('homo', 'puto')               |    16
('res', 'tam')                 |    16
('quidem', 'ut')               |    16
('probo', 'res')               |    16
('gero', 'greek.expression')   |    16
('non', 'opus')                |    16
('eo', 'magis')                |    16
('ante', 'scribo')             |    16
('affero', 'scribo')           |    16
('caesar', 'quam')             |    16
('caesar', 'etiam')            |    16
('nisi', 'res')                |    16
('magis', 'puto')              |    16
('roma', 'volo')               |    16
('do', 'quidem')               |    16
('ago', 'greek.expression')    |    16
('tum', 'ut')                  |    16
('littera', 'pompeius')        |    16
('cognosco', 'littera')        |    16
('dico', 'publicus')           |    15
('nunc', 'publicus')           |    15
('ago', 'fero')                |    15
('modus', 'res')               |    15
('loquor', 'res')              |    15
('fero', 'tamen')              |    15
('dico', 'fero')               |    15
('homo', 'volo')               |    15
('affero', 'res')              |    15
('animus', 'magnus')           |    15
('publicus', 'puto')           |    15
('intellego', 'res')           |    15
('consul', 'possum')           |    15
('dies', 'ne')                 |    15
('exspecto', 'ne')             |    15
('etiam', 'homo')              |    15
('tamen', 'verum')             |    15
('modus', 'scio')              |    15
('non', 'ratio')               |    15
('debeo', 'non')               |    15
('ita', 'nam')                 |    15
('ita', 'multus')              |    15
('exspecto', 'puto')           |    15
('possum', 'roma')             |    15
('ceterus', 'scribo')          |    15
('ago', 'magnus')              |    15
('accipio', 'quam')            |    15
('modo', 'video')              |    15
('greek.expression', 'valde')  |    15
('diligenter', 'volo')         |    15
('curo', 'scio')               |    15
('hic', 'non')                 |    15
('mitto', 'roma')              |    15
('audio', 'facio')             |    15
('non', 'soleo')               |    15
('quintus', 'scribo')          |    15
('locus', 'ut')                |    15
('animus', 'ut')               |    15
('certus', 'do')               |    15
('autem', 'venio')             |    15
('audio', 'scribo')            |    15
('do', 'reddo')                |    15
('non', 'teneo')               |    15
('curo', 'do')                 |    15
('satis', 'scribo')            |    15
('gratus', 'non')              |    15
('non', 'repr(eh)endo')        |    15
('quaero', 'video')            |    15
('facio', 'modo')              |    15
('facio', 'parum')             |    15
('fio', 'ita')                 |    15
('satis', 'video')             |    15
('iudicium', 'res')            |    15
('consilium', 'facio')         |    15
('res', 'sic')                 |    15
('senatus', 'sententia')       |    15
('causa', 'habeo')             |    15
('ita', 'puto')                |    15
('animus', 'bonus')            |    15
('multus', 'publicus')         |    15
('accipio', 'ne')              |    15
('modus', 'video')             |    15
