================================================================================
CICERO FULL CORPUS ANALYSIS (Stanza Lemmatization)
Source: Latin Library (Full Text)
Method: Stanza NLP (UD Model), Window Size: 5, Stopwords Removed
================================================================================

Total Files Processed: 138
Total Lemmas: 632835
Unique Pairs Found: 1542989

TOP COLLOCATIONS by PMI (Min count: {min_occurrence})
--------------------------------------------------------------------------------
Collocation                              | PMI        | Count
('cicerona', 'philippis')                |       9.90 |    13
('antones', 'cicerona')                  |       9.90 |    14
('cicerona', 'philippica')               |       9.90 |    14
('cicerona', 'epistularis')              |       9.90 |    10
('brvtum', 'cicerona')                   |       9.90 |     6
('cicerona', 'epistvlaris')              |       9.90 |     6
('cicerona', 'epistvlar')                |       9.90 |    21
('cicerona', 'qvintus')                  |       9.90 |     6
('cicerona', 'tusculo')                  |       9.90 |     5
('cicerona', 'disputations')             |       9.90 |     5
('cicerona', 'tvscvlanaris')             |       9.90 |     5
('cicerona', 'dispvtatio')               |       9.90 |     5
('cicerona', 'decimvs')                  |       9.90 |    10
('cicerona', 'malor')                    |       9.90 |     5
('finis', 'malor')                       |       9.90 |    11
('pvblicum', 'tvllum')                   |       9.89 |     6
('ciceronum', 'pvblicum')                |       9.89 |     6
('attice', 'tvllum')                     |       9.89 |     6
('atticulus', 'i.')                      |       9.88 |    19
('intempestus', 'nox')                   |       9.87 |     5
('latin', 'libra')                       |       9.85 |   138
('classics', 'latin')                    |       9.85 |   138
('classics', 'libra')                    |       9.85 |   138
('adprobatio', 'separo')                 |       9.82 |     5
('iaha', 'vas')                          |       9.82 |     6
('aqua', 'pluvia')                       |       9.80 |     7
('canicula', 'orior')                    |       9.80 |     9
('censor', 'subscribo')                  |       9.80 |     9
('heraclius', 'sortior')                 |       9.79 |     6
('obitus', 'ortus')                      |       9.78 |     8
('curius', 'mo')                         |       9.77 |     5
('adhibuo', 'medicus')                   |       9.77 |    13
('cicerona', 'tvllum')                   |       9.76 |   104
('sextilus', 'thessalono')               |       9.76 |     5
('latue', 'pateo')                       |       9.75 |    10
('agrus', 'gallex')                      |       9.75 |     5
('iuger', 'leontinus')                   |       9.74 |     8
('beluus', 'immanus')                    |       9.73 |     6
('dimidius', 'flavium')                  |       9.70 |     6
('equus', 'troianus')                    |       9.69 |     7
('attice', 'cicerona')                   |       9.68 |     6
('atticus', 'tullum')                    |       9.68 |    20
('pupillum', 'tutor')                    |       9.67 |     8
('exterus', 'natio')                     |       9.66 |    12
('pes', 'supplosio')                     |       9.66 |     5
('medimnus', 'triticum')                 |       9.66 |    11
('pateo', 'stipendiarius')               |       9.64 |     5
('cicerona', 'qvartvs')                  |       9.64 |     5
('prospexo', 'vectigalis')               |       9.64 |     6
('quotior', 'totio')                     |       9.64 |    12
('damen', 'desig')                       |       9.62 |    16
('cicerona', 'secvndvs')                 |       9.61 |     9
('percutio', 'securus')                  |       9.61 |     5
('coniicio', 'vinclum')                  |       9.61 |    10
('iaha', 'tullius')                      |       9.60 |     8
("'vido", 'laelius')                     |       9.59 |     6
('excipio', 'recentoricus')              |       9.58 |     6
('q.', 'vas')                            |       9.57 |     6
('amerinus', 'roscius')                  |       9.56 |     5
('clarum', 'virum')                      |       9.55 |    10
('propositio', 'separo')                 |       9.55 |     8
('praenosco', 'significo')               |       9.54 |     6
('pythagoras', 'pythagoreus')            |       9.54 |     6
('extera', 'natio')                      |       9.54 |    11
('centurias', 'comitia')                 |       9.54 |    19
('aquilis', 'mo')                        |       9.53 |     5
('antia', 'ideestio')                    |       9.52 |     5
('foeder', 'numantinus')                 |       9.51 |     6
('incessus', 'vultus')                   |       9.51 |     7
